,coctkail,x,y
151,Tango,10.035679,3.255569
152,Tillicum,8.18104,-1.1610609
153,Tip Top,9.167696,5.024173
154,Tom and Jerry (batter mix),-7.2476373,14.542124
155,Tom Collins,-2.1325498,8.48027
156,Trident,13.501856,-4.741464
157,Twentieth Century Cocktail,-7.692163,-14.507893
158,Vesper,-7.567532,-17.748615
159,Vieux Carre,5.227803,-6.6496725
160,Ward 8,-10.985141,-8.1423645
161,Whiskey Sour,-4.7023625,-1.9739858
162,White Spider,-6.7825947,1.0125833
163,Widow's Kiss,0.6314095,1.8519706
164,Xeres,12.425686,-4.362173
165,X.Y.Z.,-12.655176,0.42050046
166,Yacht Club,5.664171,8.249671
167,Zaza,12.041168,-11.43439
168,Zombie,-12.349976,5.229217
169,Zumbo,11.217424,1.2161922
170,Zummy,7.941089,6.6053715
171,Ante,-0.1516396,1.11132
172,Crux,-12.137974,-2.3127992
173,Fin de Siecle,12.224202,-8.782774
174,Fog Cutter,-10.645535,2.0360174
175,Mother-In-Law,8.792105,-8.184501
176,Picon Cremaillere,12.603501,-9.508655
177,Voyager,-14.454174,3.9112604
178,Petruchio,-17.037712,-11.886439
179,Ding Ho,-0.16337608,-17.504124
180,Elderthorn,0.48357734,-17.931837
181,Woodsman Sour,-0.6810463,-18.539087
182,Prado,-6.793405,-4.586015
183,Rendezvous,-17.980883,-4.9323473
184,Cosmopolitan,-10.192946,-3.4436433
185,Buck's Fizz,1.279425,10.98181
186,Añejo Highball,-10.679357,7.7019506
187,Chartreuse Swizzle,-15.6309805,5.048106
188,Clipper Ship,-0.13770942,-17.547462
189,Canton,6.984212,-11.937749
190,Caprice,8.812725,3.6356864
191,Champagne Antoine,1.6605467,14.928416
192,Cloister,-6.0133204,2.3686953
193,Deshler,4.589281,-9.21681
194,Lucien Gaudin,4.3875275,7.859765
195,Nightwatch,-0.006299594,16.136337
196,Stargazer,-5.341349,-17.16197
197,Stork Club,-8.883268,-3.2455764
198,Strega Daiquiri,-11.625234,2.6947799
199,Tyrol,-18.298618,-1.008827
200,Suffering Bastard,-1.2409511,-5.610626
201,Hula Hula,3.8360696,1.0528935
202,Beachbum's Own,-12.495973,5.2509356
203,East India House,6.778435,-10.7152195
204,Ritz Bijou,5.6376033,1.1584082
205,Sherman,3.9706511,-6.2055597
206,Good Hurt,-7.1210923,3.1170533
207,Festa,-4.1548605,8.826211
208,Jolly Roger,-14.214181,3.8944144
209,Grasshopper,-6.575922,-12.455215
210,Corpse Reviver #1,-5.7400317,-7.5179796
211,Corpse Reviver #3,3.1188731,-13.501777
212,Twenty-First Century Cocktail,-8.381296,-12.596068
213,Vacation,-4.5086446,-0.9064277
214,Fourth Regiment Cocktail,5.641764,-7.526327
215,Norwegian Wood,15.748404,-3.0324142
216,Smoke and Mirrors,14.114555,-4.9126067
217,Seelbach,7.934139,-7.088606
218,Little Italy,5.0457406,-4.4673905
219,Outrigger,-12.654295,0.41744247
220,Hot Buttered Rum,-4.9558306,14.911619
221,Fancy Whiskey Cocktail,2.262163,-5.0553145
222,Royalist,8.848385,-4.9780025
223,Black Hawk,-3.5922966,-4.8159823
224,Apricot Cocktail,0.0025772678,-2.0541987
225,Bourbon Milk Punch,-2.7736933,4.1156497
226,Lion's Tail,-4.8259025,4.7789555
227,Ocean Shore,-4.171358,-4.393432
228,Suburban,2.4984848,-6.428193
229,Spencer,0.14867151,-2.0454924
230,Hakam,4.8646173,1.4443063
231,White Lady,-10.930073,-1.1415673
232,San Martin,5.4178147,5.6986427
233,Attention,14.071678,4.029606
234,Washington,4.9715185,-2.0322146
235,Ford,8.810551,3.6374557
236,Biter,-5.382374,1.8995734
237,Young Man,4.8179145,-0.030846406
238,Intro to Aperol,-4.923983,0.31695133
239,Weeski,-6.037157,-16.708933
240,Bamboo,9.81303,-2.3328667
241,Harvest Moon,-7.319658,-7.026973
242,Guion,7.471012,3.5766304
243,Fairbanks,-1.8984823,-11.528187
244,Prohibition,-6.059626,-18.420498
245,Flame of Love,12.842605,-2.547341
246,Apricot Lady,-2.3612103,-2.6871378
247,Queen’s Park Swizzle,-6.83533,6.142561
248,Eye Opener,-2.058307,-2.7615657
249,Cornwall Negroni,8.119145,9.180433
250,Journalist,3.1086965,-12.614398
251,French Pearl,-7.486914,7.0924554
252,Bramble,-6.954472,-0.056387484
253,Penicillin,-16.082514,-11.811208
254,Harvard Fizz,-0.44285068,7.8071165
255,Shifting Sands,7.1313167,-14.554343
256,Red Hook,9.734347,-9.917509
257,Boulevardier,6.524181,9.635686
